State_FIPS,time_m,cpi
4,-181.0,0.1121857
4,-180.0,0.1121857
4,-179.0,0.1121857
4,-178.0,0.1121857
4,-177.0,0.1121857
4,-176.0,0.11281595
4,-175.0,0.114076465
4,-174.0,0.114076465
4,-173.0,0.114076465
4,-172.0,0.114076465
4,-171.0,0.114076465
4,-170.0,0.114076465
4,-169.0,0.114706725
4,-168.0,0.114706725
4,-167.0,0.114076465
4,-166.0,0.11533698
4,-165.0,0.11596724
4,-164.0,0.116597496
4,-163.0,0.11785801
4,-162.0,0.12479083
4,-161.0,0.12731186
4,-160.0,0.12857237
4,-159.0,0.1310934
4,-158.0,0.13424468
4,-157.0,0.1355052
4,-156.0,0.1355052
4,-155.0,0.1355052
4,-154.0,0.13802622
4,-153.0,0.13802622
4,-152.0,0.13802622
4,-151.0,0.13865647
4,-150.0,0.13991699
4,-149.0,0.14180776
4,-148.0,0.14495905
4,-147.0,0.14495905
4,-146.0,0.14558929
4,-145.0,0.14748007
4,-144.0,0.14937085
4,-141.0,0.15000111
4,-138.0,0.15378264
4,-135.0,0.15378264
4,-132.0,0.15126161
4,-129.0,0.15063137
4,-126.0,0.14937085
4,-123.0,0.14937085
4,-120.0,0.14811033
4,-117.0,0.14874059
4,-114.0,0.15189187
4,-111.0,0.15504315
4,-108.0,0.1600852
4,-105.0,0.16260624
4,-102.0,0.1632365
4,-99.0,0.16512726
4,-96.0,0.16701803
4,-93.0,0.16638777
4,-90.0,0.16827855
4,-87.0,0.16827855
4,-84.0,0.16764829
4,-81.0,0.16764829
4,-80.0,0.16827855
4,-79.0,0.1689088
4,-78.0,0.1689088
4,-77.0,0.16953906
4,-76.0,0.16953906
4,-75.0,0.17016931
4,-74.0,0.16953906
4,-72.0,0.16953906
4,-69.0,0.1689088
4,-68.0,0.16953906
4,-67.0,0.16953906
4,-66.0,0.16953906
4,-65.0,0.16953906
4,-64.0,0.1689088
4,-63.0,0.1689088
4,-62.0,0.1689088
4,-60.0,0.16827855
4,-57.0,0.16827855
4,-56.0,0.16827855
4,-55.0,0.16827855
4,-54.0,0.1689088
4,-53.0,0.1689088
4,-52.0,0.16953906
4,-51.0,0.16953906
4,-50.0,0.16953906
4,-48.0,0.1689088
4,-45.0,0.16953906
4,-44.0,0.17016931
4,-43.0,0.17142983
4,-42.0,0.17269035
4,-41.0,0.17206009
4,-40.0,0.17269035
4,-39.0,0.17332059
4,-38.0,0.17332059
4,-36.0,0.17395085
4,-33.0,0.17584163
4,-32.0,0.17647187
4,-31.0,0.17710213
4,-30.0,0.17836265
4,-29.0,0.17836265
4,-28.0,0.17836265
4,-27.0,0.17836265
4,-26.0,0.17899291
4,-24.0,0.18025342
4,-21.0,0.1821442
4,-20.0,0.1821442
4,-19.0,0.1821442
4,-18.0,0.18277445
4,-17.0,0.1821442
4,-16.0,0.1821442
4,-15.0,0.1821442
4,-14.0,0.18277445
4,-13.0,0.1821442
4,-12.0,0.18277445
4,-9.0,0.18277445
4,-7.0,0.1834047
4,-6.0,0.18403496
4,-5.0,0.18403496
4,-4.0,0.18466522
4,-3.0,0.18529548
4,-2.0,0.18529548
4,-1.0,0.18529548
4,0.0,0.18466522
4,3.0,0.18592574
4,4.0,0.18592574
4,5.0,0.186556
4,6.0,0.186556
4,7.0,0.186556
4,8.0,0.186556
4,9.0,0.1878165
4,10.0,0.1878165
4,12.0,0.1878165
4,15.0,0.1878165
4,16.0,0.1878165
4,17.0,0.1878165
4,18.0,0.18907702
4,19.0,0.18844676
4,20.0,0.18907702
4,21.0,0.18907702
4,22.0,0.18907702
4,24.0,0.18907702
4,27.0,0.19033752
4,28.0,0.19033752
4,29.0,0.19033752
4,30.0,0.19096778
4,31.0,0.19096778
4,32.0,0.19159804
4,33.0,0.19159804
4,34.0,0.19159804
4,35.0,0.19159804
4,36.0,0.19159804
4,37.0,0.19159804
4,38.0,0.1922283
4,39.0,0.1922283
4,40.0,0.1922283
4,41.0,0.19285856
4,42.0,0.19348882
4,43.0,0.19348882
4,44.0,0.19348882
4,45.0,0.19411907
4,46.0,0.19411907
4,47.0,0.19474933
4,48.0,0.19474933
4,49.0,0.19474933
4,50.0,0.19474933
4,51.0,0.19474933
4,52.0,0.19474933
4,53.0,0.19537959
4,54.0,0.19600983
4,55.0,0.19537959
4,56.0,0.19600983
4,57.0,0.19600983
4,58.0,0.1966401
4,59.0,0.1966401
4,60.0,0.1966401
4,61.0,0.1966401
4,62.0,0.19727035
4,63.0,0.19790062
4,64.0,0.19790062
4,65.0,0.19916111
4,66.0,0.19916111
4,67.0,0.19916111
4,68.0,0.19916111
4,69.0,0.19979139
4,70.0,0.19979139
4,71.0,0.20042163
4,72.0,0.20042163
4,73.0,0.20168215
4,74.0,0.20231241
4,75.0,0.20357293
4,76.0,0.20357293
4,77.0,0.20420317
4,78.0,0.20483345
4,79.0,0.20609394
4,80.0,0.20609394
4,81.0,0.20735446
4,82.0,0.20735446
4,83.0,0.20735446
4,84.0,0.20735446
4,85.0,0.20735446
4,86.0,0.20798472
4,87.0,0.20861498
4,88.0,0.20924523
4,89.0,0.20987548
4,90.0,0.21050575
4,91.0,0.211136
4,92.0,0.21176624
4,93.0,0.21239652
4,96.0,0.21491754
4,97.0,0.2155478
4,98.0,0.21617806
4,99.0,0.2168083
4,100.0,0.21743858
4,101.0,0.21869907
4,102.0,0.21995959
4,103.0,0.22058986
4,104.0,0.2212201
4,105.0,0.22248062
4,106.0,0.22311088
4,107.0,0.22374113
4,108.0,0.2243714
4,109.0,0.2256319
4,110.0,0.22752269
4,111.0,0.22878319
4,112.0,0.22941345
4,113.0,0.23067395
4,114.0,0.23193447
4,115.0,0.23319499
4,116.0,0.23382524
4,117.0,0.23508576
4,118.0,0.23634627
4,119.0,0.23760678
4,120.0,0.23823702
4,123.0,0.24264884
4,124.0,0.2432791
4,125.0,0.2445396
4,126.0,0.24580012
4,127.0,0.24580012
4,128.0,0.24706064
4,129.0,0.24832116
4,130.0,0.24958166
4,131.0,0.25084215
4,132.0,0.25084215
4,133.0,0.25147244
4,134.0,0.25210267
4,135.0,0.25273296
4,136.0,0.25399345
4,137.0,0.25588423
4,138.0,0.2565145
4,139.0,0.25714475
4,140.0,0.25714475
4,141.0,0.25777498
4,142.0,0.25777498
4,143.0,0.2590355
4,144.0,0.2590355
4,145.0,0.26029602
4,146.0,0.26092628
4,147.0,0.26155654
4,148.0,0.2621868
4,149.0,0.26281705
4,150.0,0.26407757
4,151.0,0.2647078
4,152.0,0.2653381
4,153.0,0.2665986
4,154.0,0.26722884
4,155.0,0.2678591
4,156.0,0.26848936
4,157.0,0.2703801
4,158.0,0.27290115
4,159.0,0.27479193
4,160.0,0.2766827
4,161.0,0.27857345
4,162.0,0.27920374
4,165.0,0.2873971
4,168.0,0.29369962
4,171.0,0.30252323
4,174.0,0.31134683
4,177.0,0.32206118
4,180.0,0.32836375
5,-216.0,0.09895031
5,-213.0,0.10147133
5,-210.0,0.103362106
5,-207.0,0.10525288
5,-204.0,0.10651338
5,-201.0,0.10966467
5,-200.0,0.11029493
5,-199.0,0.11029493
5,-198.0,0.10966467
5,-197.0,0.10903441
5,-196.0,0.10966467
5,-195.0,0.10966467
5,-194.0,0.10966467
5,-193.0,0.10966467
5,-192.0,0.10966467
5,-191.0,0.10966467
5,-190.0,0.10966467
5,-189.0,0.11029493
5,-188.0,0.11029493
5,-187.0,0.11092518
5,-186.0,0.11155544
5,-185.0,0.11155544
5,-184.0,0.11155544
5,-183.0,0.11155544
5,-182.0,0.11155544
5,-181.0,0.1121857
5,-180.0,0.1121857
5,-179.0,0.1121857
5,-178.0,0.1121857
5,-177.0,0.1121857
5,-176.0,0.11281595
5,-175.0,0.114076465
5,-174.0,0.114076465
5,-173.0,0.114076465
5,-172.0,0.114076465
5,-171.0,0.114076465
5,-170.0,0.114076465
5,-169.0,0.114706725
5,-168.0,0.114706725
5,-167.0,0.114076465
5,-166.0,0.11533698
5,-165.0,0.11596724
5,-164.0,0.116597496
5,-163.0,0.11785801
5,-162.0,0.12479083
5,-161.0,0.12731186
5,-160.0,0.12857237
5,-159.0,0.1310934
5,-158.0,0.13424468
5,-157.0,0.1355052
5,-156.0,0.1355052
5,-155.0,0.1355052
5,-154.0,0.13802622
5,-153.0,0.13802622
5,-152.0,0.13802622
5,-151.0,0.13865647
5,-150.0,0.13991699
5,-149.0,0.14180776
5,-148.0,0.14495905
5,-147.0,0.14495905
5,-146.0,0.14558929
5,-145.0,0.14748007
5,-144.0,0.14937085
5,-141.0,0.15000111
5,-138.0,0.15378264
5,-135.0,0.15378264
5,-132.0,0.15126161
5,-129.0,0.15063137
5,-126.0,0.14937085
5,-123.0,0.14937085
5,-120.0,0.14811033
5,-117.0,0.14874059
5,-114.0,0.15189187
5,-111.0,0.15504315
5,-108.0,0.1600852
5,-105.0,0.16260624
5,-102.0,0.1632365
5,-99.0,0.16512726
5,-96.0,0.16701803
5,-93.0,0.16638777
5,-90.0,0.16827855
5,-87.0,0.16827855
5,-84.0,0.16764829
5,-81.0,0.16764829
5,-80.0,0.16827855
5,-79.0,0.1689088
5,-78.0,0.1689088
5,-77.0,0.16953906
5,-76.0,0.16953906
5,-75.0,0.17016931
5,-74.0,0.16953906
5,-72.0,0.16953906
5,-69.0,0.1689088
5,-68.0,0.16953906
5,-67.0,0.16953906
5,-66.0,0.16953906
5,-65.0,0.16953906
5,-64.0,0.1689088
5,-63.0,0.1689088
5,-62.0,0.1689088
5,-60.0,0.16827855
5,-57.0,0.16827855
5,-56.0,0.16827855
5,-55.0,0.16827855
5,-54.0,0.1689088
5,-53.0,0.1689088
5,-52.0,0.16953906
5,-51.0,0.16953906
5,-50.0,0.16953906
5,-48.0,0.1689088
5,-45.0,0.16953906
5,-44.0,0.17016931
5,-43.0,0.17142983
5,-42.0,0.17269035
5,-41.0,0.17206009
5,-40.0,0.17269035
5,-39.0,0.17332059
5,-38.0,0.17332059
5,-36.0,0.17395085
5,-33.0,0.17584163
5,-32.0,0.17647187
5,-31.0,0.17710213
5,-30.0,0.17836265
5,-29.0,0.17836265
5,-28.0,0.17836265
5,-27.0,0.17836265
5,-26.0,0.17899291
5,-24.0,0.18025342
5,-21.0,0.1821442
5,-20.0,0.1821442
5,-19.0,0.1821442
5,-18.0,0.18277445
5,-17.0,0.1821442
5,-16.0,0.1821442
5,-15.0,0.1821442
5,-14.0,0.18277445
5,-13.0,0.1821442
5,-12.0,0.18277445
5,-9.0,0.18277445
5,-7.0,0.1834047
5,-6.0,0.18403496
5,-5.0,0.18403496
5,-4.0,0.18466522
5,-3.0,0.18529548
5,-2.0,0.18529548
5,-1.0,0.18529548
5,0.0,0.18466522
5,3.0,0.18592574
5,4.0,0.18592574
5,5.0,0.186556
5,6.0,0.186556
5,7.0,0.186556
5,8.0,0.186556
5,9.0,0.1878165
5,10.0,0.1878165
5,12.0,0.1878165
5,15.0,0.1878165
5,16.0,0.1878165
5,17.0,0.1878165
5,18.0,0.18907702
5,19.0,0.18844676
5,20.0,0.18907702
5,21.0,0.18907702
5,22.0,0.18907702
5,24.0,0.18907702
5,27.0,0.19033752
5,28.0,0.19033752
5,29.0,0.19033752
5,30.0,0.19096778
5,31.0,0.19096778
5,32.0,0.19159804
5,33.0,0.19159804
5,34.0,0.19159804
5,35.0,0.19159804
5,36.0,0.19159804
5,37.0,0.19159804
5,38.0,0.1922283
5,39.0,0.1922283
5,40.0,0.1922283
